id,name_x,yearpublished,rank_x,category
397598,Dune: Imperium – Uprising,2023,34,"[1064, 1093, 1001, 1010]"
396790,Nucleum,2023,202,"[1021, 1088, 1016]"
391163,Forest Shuffle,2023,312,"[1089, 1002, 1094, 1080]"
400314,Apiary,2023,379,"[1089, 1016]"
397385,Pirates of Maracaibo,2023,1421,"[1020, 1008, 1090]"
396989,Evenfall,2023,1450,"[1002, 1010]"
394106,Everdell Farshore,2023,1577,"[1089, 1002, 1029, 1010]"
395375,Art Society,2023,1724,[1028]
392023,Mycelia,2023,2045,[1002]
400205,5 Towers,2023,2485,[1002]
397897,Horrified: Greek Monsters,2023,2526,"[1024, 1047]"
406291,스플렌더: Pokémon (Splendor: Pokémon),2023,2596,"[1002, 1021, 1064, 1101]"
392449,Welcome To...: Collector's Edition,2023,2677,[1029]
393973,Match of the Century,2023,2804,[1002]
403265,Marabunta,2023,3194,[1089]
400995,Perspectives,2023,3243,"[1039, 1040, 1028]"
405537,DroPolter,2023,3320,[1032]
391795,Kinfire Delve: Vainglory's Grotto,2023,3334,"[1002, 1010, 1024]"
392513,Mindbug: Beyond Eternity,2023,3351,"[1002. 1010, 1046, 1016]"
394334,Sunrise Lane,2023,3394,"[1002, 1029]"
393179,Shipyard (2nd Edition),2023,3709,"[1021, 1088, 1008]"
394889,Cabanga!,2023,3951,[1002]
398162,MicroMacro: Crime City – Showdown,2023,3980,"[1039, 1040]"
396618,Waterfall Park,2023,4058,[1026]
399806,Karvi,2023,4089,"[1022, 1017, 1020]"
394887,Surfosaurus MAX,2023,4236,[1002]
396542,The Same Game,2023,4389,"[1039, 1030, 1025]"
397736,HITSTER: Guilty Pleasures,2023,4453,"[1002, 1054, 1030]"
402215,Silver & Gold Pyramids,2023,4663,[1002]
393530,Karak II,2023,5008,"[1022, 1041, 1017, 1020, 1010]"
393887,Kuhfstein,2023,5418,[1089]
409572,Intent to Kill,2023,5608,"[1039, 1040]"
405538,Rafter Five,2023,5695,[1032]
395364,Dorfromantik: The Duel,2023,5761,"[1029, 1084, 1028]"
219717,18USA,2017,5788,"[1021, 1042, 1034]"
398898,High Season: Grand Hotel Roll & Write,2023,5875,"[1017, 1021]"
393352,Perfect Words,2023,5942,"[1039, 1028, 1025]"
397431,Moorland,2023,5949,[1084]
399011,Barrio,2023,6161,"[1002, 1029]"
393910,The Texas Chainsaw Massacre: Slaughterhouse,2023,6174,"[1024, 1064]"
394144,Risk Strike,2023,6293,"[1002, 1017]"
393888,Passt nicht!,2023,6372,[1002]
394127,Yokai Pagoda,2023,6385,"[1009, 1023, 1002, 1010]"
394961,Penny Black,2023,6435,[1028]
396655,Quicksand,2023,6437,[1037]
398684,Skyrockets: Festivals of Fire,2023,6500,[1037]
396543,Havalandi,2023,6682,[1009]
387763,How Dare You?,2023,6706,[1030]
395907,Black Rose Wars: Duel – Lex,2023,6725,"[1002, 1010, 1047, 1070]"
391497,Tangram City,2023,6762,"[1029, 1028]"
401885,Schätz it if you can,2023,6795,"[1023, 1027]"
393456,1902 Méliès,2023,6925,[1064]
392842,Wonder Bowling,2023,7001,[1032]
401543,Newsboys,2023,7367,[1021]
393000,Ex Libris: Revised Edition,2023,7374,"[1002, 1010]"
402310,Town 77,2023,7376,[1028]
394960,Legendary: A Marvel Deck Building Game – Marvel Studios' What If...?,2023,7469,[1002]
391290,Ecosystem: Savanna,2023,7560,"[1089, 1094, 1084]"
400113,Panda Panda,2023,7595,[1002]
402206,Dioses!,2023,8001,[1028]
405460,CATsle Builders,2023,8148,[1002]
399374,For One: Kniffel,2023,8214,[1017]
394735,Exit: The Game – Advent Calendar: The Missing Hollywood Star,2023,8299,"[1040, 1028]"
391985,Enemy Anemone,2023,8381,[1002]
392473,Islet,2023,8491,"[1009, 1089, 1084, 1020, 1086]"
396091,Heroes for Sale,2023,8559,"[1002, 1016]"
391045,Alpaca,2023,8623,"[1089, 1002]"
392611,Sushi Go!: Spin Some for Dim Sum,2023,8674,
324803,Vampire: The Eternal Struggle Fifth Edition,2020,9047,[1042]
392192,Unlock!: Short Adventures – Meurtre à Birmingham,2023,9196,"[1002, 1028, 1037]"
390903,Villagers of the Oak Dell,2023,9220,"[1017, 1120]"
399088,UNO: Show 'Em No Mercy,2023,9314,[1002]
410097,ザ・カカポ　バディ＆パーティ (The Kakapo: Buddy & Party),2023,9459,[1002]
399378,For One: Galaktix,2023,9537,[1017]
391561,Disney Villainous: Introduction to Evil,2023,9742,"[1002, 1010, 1035, 1064, 1082, 1093, 1090]"
393488,"Oh No, Volcano!",2023,9883,[1041]
400756,Wizards Cup,2023,9900,"[1002, 1010]"
391995,Unlock!: Short Adventures – Red Mask,2023,9928,"[1002, 1028, 1037]"
402208,Ku-Ka-König,2023,9952,[1002]
398368,Global War: World War II Worldwide 1939-1945,2023,10140,"[1019, 1049]"
404513,Tokyo Highway: Rainbow City,2023,10149,[1032]
393404,Turbo Kidz,2023,10272,"[1030, 1037]"
83492,Privacy: Scharf wie Chili,2010,10299,"[1118, 1030]"
395906,Exploding Kittens: Good Vs Evil,2023,10316,"[1089, 1002, 1064, 1030]"
401177,Passo,2023,10317,[1009]
392193,Unlock!: Short Adventures – Le Chat de M. Schrödinger,2023,10318,"[1002, 1028, 1037]"
393975,Evil Corp.,2023,10391,"[1010, 1079, 1035]"
393492,Avatar: The Last Airbender – Crossroads of Destiny,2023,10502,[1064]
404462,Monikers: Monikers-er,2023,10525,[1030]
401795,Battle of Gods,2023,10538,"[1002, 1017,  1047, 1082]"
401168,nana: Christmas Edition,2022,10663,[1002]
398771,Die Patin,2023,10725,"[1009, 1089, 1033]"
396607,Disney Robin Hood: Sheriff of Nottingham Game,2023,10766,"[1023, 1002, 1010, 1079, 1035, 1064, 1026, 1030]"
394325,Fruitoplay,2023,10925,[1002]
403000,Traitors Aboard,2023,10960,"[1023, 1002, 1030, 1090]"
391892,What the Rule?!,2023,10984,"[1002, 1039, 1028]"
398947,Battle Card: Series 1,2023,11011,"[1120, 1019, 1049]"
392448,Medieval Academy,2023,11077,"[1002, 1035]"
398774,Reif für die Insel,2023,11098,[1089]
399826,Gem Getter Pro,2023,11124,"[1120, 1028]"
391625,The Brain,2023,11125,"[1002, 1039, 1028]"
402373,Unlock!: Supernatural Adventures,2023,11130,"[1039, 1028, 1037]"
403160,Арідник (Aridnyk),2023,11135,"[1022, 1116, 1010, 1082]"
393842,Quest Calendar: Leaf Riders of Wrenwood,2023,11167,"[1089, 1010, 1120]"
394081,Rubber Paper Scissors,2023,11250,[1030]
391048,Time Division,2023,11261,"[1002, 1081]"
402109,PASS,2023,11317,"[1002, 1098]"
396995,Whale Street,2023,11337,"[1023, 1021, 1030]"
399166,Kids Chronicles: The Old Oak Prophecy,2023,11455,"[1022, 1041, 1020, 1010]"
399375,For One: Schwarze Rosen,2023,11484,[1028]
399376,For One: Number Up,2023,11579,"[1002, 1028, 1098]"
393457,Urbify,2023,11657,[1029]
394507,Wave,2023,11733,[1002]
391086,Everything Ever,2023,11779,"[1002, 1030, 1027]"
402205,Sixto,2023,11800,"[1017, 1098]"
409553,The First Tsar: Ivan the Terrible,2023,11838,"[1021, 1035]"
393343,Smug Owls,2023,12010,[1030]
411982,ito Rainbow,2022,12019,"[1002, 1030]"
400211,Cuvée,2023,12121,[1021]
392372,Side Quest: 7th Sea,2023,12191,[1028]
394332,Western Legends: Showdown,2023,12270,"[1002, 1055]"
402744,Toil & Troublez,2023,12274,"[1002, 1010]"
397228,Piazza,2023,12321,[1009]
394193,Kosmogonia 2086: Kronos Epilogue – The Card Game!,2023,12326,"[1022, 1002, 1010, 1046, 1082, 1016]"
397227,Deductio,2023,12345,"[1002, 1039, 1098]"
400835,echoes: Draculas Erbe,2023,12537,"[1039, 1040]"
407720,Post Office,2023,12575,"[1089, 1116]"
401779,Port Royal: The Dice Game,2023,12619,"[1017, 1021, 1008, 1090]"
410100,Extreme Tricks,2023,12697,"[1002, 1038]"
396649,At the Office,2023,12724,"[1039, 1017, 1104, 1093, 1098]"
26004,Bitter Woods Deluxe Edition Expansion Kit,2004,12856,"[1042, 1046, 1019, 1049]"
407173,LOOP,2023,13154,[1002]
415120,Die Drei Kolosse,2023,13201,"[1039, 1040, 1093, 1028]"
394940,Tiny Woodys,2023,13431,"[1089, 1023, 1002, 1044, 1084, 1010]"
393199,Converge: Engines of Progress,2023,13456,"[1002, 1016, 1120]"
403280,Yuan: l'Art de la Guerre – Chine,2023,13534,"[1050, 1035, 1086, 1019]"
